# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsLP	ThetaLocal
0	1	1	0	80.83	32.389	4.13459	2.99789	60.2617	0	0	0	80.83	0.968249	137	22	23.4839	1.38721	0	0.943442
1	1	1	0	98.3618	36.3841	-6.01381	2.09381	60.7029	0	0	0	98.3618	0.933711	154	30	22.9464	1.8291	0	1.23577
2	1	1	0	102.374	37.1438	14.6598	3.9774	55.6403	0	0	0	102.374	0.932457	130	30	28.2615	1.01912	0	1.30586
3	1	1	0	103.091	36.9775	-16.7142	1.03424	56.8208	0	0	0	103.091	0.947443	152	30	26.8437	2.23568	0	1.509
4	1	1	0	99.6669	36.4694	25.8382	2.4062	49.9011	0	0	0	99.6669	0.941683	131	30	34.3752	0.713483	0	1.47794
5	1	1	0	95.2039	35.4898	-27.4842	0.00822967	50.9086	0	0	0	95.2039	0.949854	129	30	33.9267	2.50751	0	1.5705
6	1	1	0	102.522	37.7315	36.2741	-0.459875	44.4429	0	0	0	102.522	0.90494	137	30	41.3798	0.494308	0	1.58347
7	1	1	0	92.9824	35.509	-36.7563	-4.06733	46.2376	0	0	0	92.9824	0.926688	135	30	39.9577	2.72896	0	1.68101
8	1	1	0	59.5944	27.6842	44.7144	-4.17397	40.0978	0	0	0	59.5944	0.97713	129	22	47.6067	0.340918	0	1.66387
9	1	1	0	81.3203	32.4608	-45.4728	-8.49429	41.388	0	0	0	81.3203	0.969816	139	30	46.7806	2.89108	0	1.75547
10	2	0	0	61.485	28.0836	-0.0808326	-5.80766	69.8596	0	0	0	61.485	0.979654	132	22	14.2839	1.56578	0	0
11	2	0	0	77.9062	31.9233	9.26803	-5.33705	65.6721	0	0	0	77.9062	0.96065	142	30	17.5053	1.00256	0	0
12	2	0	0	74.491	31.9624	-10.1689	-6.74186	66.8998	0	0	0	74.491	0.916293	139	30	16.6895	2.2145	0	0
13	2	0	0	77.4914	31.8788	19.7488	-5.30886	57.9727	0	0	0	77.4914	0.958208	141	30	24.7908	0.638873	0	0
14	2	0	0	60.7438	28.0153	-20.8892	-7.69336	59.4737	0	0	0	60.7438	0.972572	110	22	24.1604	2.60274	0	0
15	2	0	0	78.55	32.442	30.5305	-7.82989	50.3866	0	0	0	78.55	0.937869	144	30	33.0423	0.380178	0	0
16	2	0	0	58.5328	27.8261	-30.2656	-10.079	52.4733	0	0	0	58.5328	0.949959	101	22	31.7341	2.8206	0	0
17	2	1	0	60.1779	28.0453	40.3697	-10.6601	43.921	0	0	0	60.1779	0.961452	137	22	41.6053	0.228672	0	0
18	2	1	0	76.6367	31.8681	-39.5034	-14.5458	46.0771	0	0	0	76.6367	0.948278	142	30	39.7398	3.00159	0	0
19	3	0	0	61.4646	28.028	4.88303	-14.1458	76.052	86.0064	0	0	61.4646	0.983217	109	22	7.79143	0.868088	0	0
20	3	0	0	60.0857	27.7264	-2.96996	-14.2638	78.9797	87.0379	0	0	60.0857	0.982186	107	22	6.47299	2.02113	0	0
21	3	0	0	69.3016	29.8796	14.4643	-13.6554	65.7273	77.6497	0	0	69.3016	0.975444	133	22	15.971	0.414774	0	0
22	3	0	0	72.4668	31.4003	-13.5118	-14.5254	68.772	80.5983	0	0	72.4668	0.923595	137	30	14.4724	2.74683	0	0
23	3	0	0	81.8341	33.0986	24.091	-15.0419	56.9352	68.9228	0	0	81.8341	0.938697	132	30	24.7638	0.205349	0	0
24	3	0	0	69.6565	30.2525	-24.0628	-15.8512	58.6682	71.2686	0	0	69.6565	0.956422	141	30	24.2833	2.96608	0	0
25	3	1	0	78.3288	31.8878	34.3871	-17.1895	48.8562	60.2813	0	0	78.3288	0.968014	148	30	34.6612	0.0838207	0	0
26	3	1	0	55.444	26.9591	-32.8161	-19.0373	51.2797	63.6899	0	0	55.444	0.958633	142	22	32.6807	3.10933	0	0
27	4	0	0	64.1946	28.8805	0.679764	-22.8576	78.4258	99.9939	0	0	64.1946	0.967157	103	28	2.88869	-1.27856	0	0
28	4	0	0	82.1525	33.3351	9.52218	-22.9069	70.4919	90.0879	0	0	82.1525	0.929023	159	30	10.076	-0.283201	0	0
29	4	0	0	72.6741	30.8256	-8.61945	-22.2774	73.1288	93.3875	0	0	72.6741	0.961093	120	30	8.74463	-2.88893	0	0
30	4	0	0	83.9063	33.3815	19.1488	-23.3661	60.9009	78.0787	0	0	83.9063	0.946223	157	30	19.577	-0.168061	0	0
31	4	0	0	66.5348	29.3969	-18.2115	-22.8673	63.7929	81.5652	0	0	66.5348	0.967513	137	22	18.2711	-2.98907	0	0
32	4	1	0	81.1371	32.4124	29.2165	-25.0324	52.2645	67.2663	0	0	81.1371	0.970527	149	30	29.7817	-0.166679	0	0
33	4	1	0	56.6192	27.2046	-27.2634	-24.4899	55.2299	70.8474	0	0	56.6192	0.961367	138	22	27.4654	-2.98075	0	0
34	5	0	0	60.3071	27.8184	4.17758	-31.187	68.5782	100.436	0	0	60.3071	0.979294	119	22	11.9105	-1.19872	0	0
35	5	0	0	63.1008	28.4446	-4.94805	-30.785	68.2913	101.693	0	0	63.1008	0.980046	132	22	11.7197	-1.99236	0	0
