# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsBuffer	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	0	0	89.5703	34.9251	10.71	45.3289	54.3858	0	0	0	89.5703	0.922778	136	30	36.4245	1.3641	0	0
1	1	0	0	68.1529	30.4942	2.25038	44.2916	55.6303	0	0	0	68.1529	0.920998	125	22	34.6259	1.59923	0	0
2	1	0	0	86.7349	34.2382	19.4235	42.8317	53.7005	0	0	0	86.7349	0.929786	123	30	36.8935	1.11653	0	0
3	1	0	0	96.0038	36.1774	-5.15396	49.3254	50.2492	0	0	0	96.0038	0.921771	144	30	40.5235	1.77931	0	0
4	1	0	0	96.908	37.8004	24.0607	35.4608	56.3661	0	0	0	96.908	0.852271	131	22	33.142	0.891317	0	0
5	1	0	0	92.2191	35.6245	-14.1683	52.8502	45.1259	0	0	0	92.2191	0.913128	138	30	46.5463	1.95399	0	0
6	1	0	0	86.7708	35.5903	32.3648	33.9529	51.4633	0	0	0	86.7708	0.860834	141	30	37.9176	0.6947	0	0
7	1	0	0	83.6849	33.3995	-22.7849	52.0689	42.332	0	0	0	83.6849	0.94271	130	30	49.7379	2.12132	0	0
8	1	1	0	79.7123	32.1131	38.9468	29.0338	48.3862	0	0	0	79.7123	0.97134	146	30	40.6194	0.496641	0	0
9	1	1	0	59.7577	27.8543	-27.8959	44.5391	43.1411	0	0	0	59.7577	0.967876	119	22	46.7364	2.29975	0	0
10	2	0	0	94.0817	36.3762	5.3099	33.2083	66.0114	0	0	0	94.0817	0.893471	131	30	23.6199	1.48282	0	0
11	2	0	0	93.2249	35.7078	13.7433	33.7009	63.3663	0	0	0	93.2249	0.91879	124	30	26.2192	1.15841	0	0
12	2	0	0	98.2919	38.7659	-3.47557	34.9061	62.2787	0	0	0	98.2919	0.821915	143	30	26.1036	1.83078	0	0
13	2	0	0	89.257	34.6757	17.4732	22.7601	68.872	0	0	0	89.257	0.932829	151	30	19.3347	0.743032	0	0
14	2	0	0	99.8958	39.8261	-10.9676	38.4613	56.1475	0	0	0	99.8958	0.791447	145	22	32.0949	2.02919	0	0
15	2	0	0	89.2634	35.529	26.5345	23.6605	60.0424	0	0	0	89.2634	0.888624	143	30	27.1725	0.540448	0	0
16	2	0	0	105.662	40.9109	-18.6385	40.7434	50.6814	0	0	0	105.662	0.793322	154	30	37.9919	2.18429	0	0
17	2	1	0	61.432	28.9248	34.0295	21.9359	53.7919	0	0	0	61.432	0.92271	136	22	33.1441	0.378779	0	0
18	2	1	0	63.2711	28.8485	-24.8816	35.5545	48.3341	0	0	0	63.2711	0.955364	133	22	38.2103	2.39769	0	0
19	3	0	0	96.9449	37.9733	8.09719	20.2599	80.2576	84.6702	0	0	96.9449	0.844848	144	30	11.6441	1.14	0	0
20	3	0	0	100.061	38.6075	-0.219066	20.1958	77.0074	83.5563	0	0	100.061	0.843595	164	30	11.0687	1.88813	0	0
21	3	0	0	90.3937	35.004	12.5997	10.4803	71.9161	93.9879	0	0	90.3937	0.927072	136	30	9.39913	0.0852816	0	0
22	3	0	0	87.6545	37.3834	-7.8745	22.0582	68.3096	77.0109	0	0	87.6545	0.788182	147	22	16.6326	2.3022	0	0
23	3	0	0	97.4582	37.629	21.3719	11.2345	64.8459	83.0291	0	0	97.4582	0.864934	174	30	18.2037	0.0855159	0	0
24	3	0	0	92.3717	38.2645	-15.332	25.068	60.3294	68.7093	0	0	92.3717	0.792786	154	30	24.1147	2.44953	0	0
25	3	1	0	94.5307	35.5545	29.7061	11.5067	57.5508	73.1092	0	0	94.5307	0.939709	157	30	26.5344	0.0689085	0	0
26	3	1	0	69.1046	32.0079	-21.9608	25.3259	54.2884	62.5706	0	0	69.1046	0.847621	128	22	29.6583	2.58588	0	0
27	4	0	0	115.428	46.5863	2.56433	3.68928	66.9658	104.549	0	0	115.428	0.668352	147	30	6.02781	-1.68224	0	0
28	4	0	0	94.2471	38.2027	9.0979	-1.84538	62.1395	98.27	0	0	94.2471	0.8115	156	30	12.9308	-1.10019	0	0
29	4	0	0	105.909	42.0672	-4.50043	5.18751	65.586	93.411	0	0	105.909	0.752062	117	30	8.94494	-2.61545	0	0
30	4	0	0	91.3935	35.8744	17.139	-1.74934	59.1173	88.744	0	0	91.3935	0.892394	154	22	17.9987	-0.687999	0	0
31	4	0	0	100.945	43.4554	-11.6684	8.70945	62.4307	82.5035	0	0	100.945	0.671751	160	30	14.9346	-3.07658	0	0
32	4	1	0	72.648	31.3122	25.118	0.0331384	55.8917	79.3605	0	0	72.648	0.931123	139	22	23.9152	-0.415192	0	0
33	4	1	0	84.1492	36.9642	-18.2718	11.134	57.2786	73.4262	0	0	84.1492	0.773922	136	22	21.5556	3.07407	0	0
34	5	0	0	99.9242	39.5623	5.05852	-14.8366	51.2116	81.345	0	0	99.9242	0.802266	144	30	24.5841	-1.49654	0	0
35	5	0	0	97.1623	39.5954	-2.51372	-12.7366	51.9636	81.5383	0	0	97.1623	0.778787	143	22	23.1416	-1.82183	0	0
36	5	0	0	87.7423	35.2315	13.3884	-15.2667	50.1499	78.7806	0	0	87.7423	0.888296	130	22	26.9337	-1.18425	0	0
37	5	0	0	101.038	40.8095	-9.48554	-9.3821	52.167	79.2527	0	0	101.038	0.762377	137	30	22.9163	-2.15925	0	0
38	5	1	0	97.7482	36.5071	21.739	-12.5236	49.5124	75.3783	0	0	97.7482	0.921647	151	30	28.9033	-0.876017	0	0
39	5	1	0	80.2912	35.6834	-15.8916	-2.94072	52.95	75.985	0	0	80.2912	0.792401	136	22	22.9149	-2.55833	0	0
40	6	0	0	82.9044	34.3538	0.535114	-27.234	42.0606	66.1489	0	0	82.9044	0.88275	127	22	37.0123	-1.6438	0	0
41	6	0	0	114.047	40.9936	9.0221	-29.2913	40.7822	64.1246	0	0	114.047	0.852833	136	30	39.3984	-1.42337	0	0
42	6	0	0	119.681	43.2956	-7.47302	-27.6067	40.6268	63.1677	0	0	119.681	0.802322	128	30	38.7935	-1.85045	0	0
43	6	1	0	103.652	37.1936	17.8204	-26.0233	41.6797	64.8645	0	0	103.652	0.941564	155	30	38.5674	-1.18296	0	0
44	6	1	0	113.814	41.3429	-14.821	-20.4281	43.0077	65.3892	0	0	113.814	0.836765	157	30	35.1068	-2.111	0	0
45	7	0	1	125.34	44.7498	0.0803041	-42.2828	33.177	51.7166	0	0	125.34	0.786532	154	30	52.0581	-1.63143	0	0
46	7	0	1	103.887	38.7897	8.89928	-43.329	32.7534	51.0656	0	0	103.887	0.86764	155	30	53.3105	-1.46434	0	0
47	7	0	1	102.15	38.4081	-8.59538	-42.8661	32.1827	49.7846	0	0	102.15	0.870171	145	30	53.861	-1.79224	0	0
48	7	1	1	92.0482	35.6598	17.0011	-38.8043	34.584	53.7402	0	0	92.0482	0.909633	145	30	50.4005	-1.29414	0	0
49	7	1	1	99.9628	38.2535	-15.7767	-36.3651	34.1764	52.3314	0	0	99.9628	0.858432	149	30	49.8152	-1.96237	0	0
