cell_id	ck	wus
1	0.0	66.2857437133789
2	0.0	66.2857437133789
3	0.0	62.63142013549805
4	0.0	62.63142013549805
5	0.0	57.27388000488281
6	0.0	57.27388000488281
7	0.0	51.58019256591797
8	0.0	51.58019256591797
9	0.0	46.1088981628418
10	0.0	46.1088981628418
11	0.0	75.66281127929688
12	0.0	71.58453369140625
13	0.0	71.58453369140625
14	0.0	64.42324829101562
15	0.0	64.42324829101562
16	0.0	57.32712936401367
17	0.0	57.32712936401367
18	0.0	50.82975387573242
19	0.0	50.82975387573242
20	96.85426330566406	79.4026870727539
21	96.85426330566406	79.4026870727539
22	88.02876281738281	70.18306732177734
23	88.02876281738281	70.18306732177734
24	78.18622589111328	61.9923210144043
25	78.18622589111328	61.9923210144043
26	69.0453872680664	54.75215530395508
27	69.0453872680664	54.75215530395508
28	107.85425567626953	73.77704620361328
29	96.51182556152344	70.31993103027344
30	96.51182556152344	70.31993103027344
31	84.86698913574219	63.70076370239258
32	84.86698913574219	63.70076370239258
33	74.59038543701172	56.87161636352539
34	74.59038543701172	56.87161636352539
35	93.50678253173828	64.6825180053711
36	93.50678253173828	64.6825180053711
37	86.13043975830078	61.379859924316406
38	86.13043975830078	61.379859924316406
39	77.05204772949219	56.37820816040039
40	77.05204772949219	56.37820816040039
41	83.27387237548828	57.54191589355469
42	80.92793273925781	56.428585052490234
43	80.92793273925781	56.428585052490234
44	75.22732543945312	53.48117446899414
45	75.22732543945312	53.48117446899414
46	73.17192840576172	50.81779861450195
47	71.72154235839844	50.064720153808594
48	71.72154235839844	50.064720153808594
49	67.87616729736328	47.984596252441406
50	67.87616729736328	47.984596252441406
