# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsLP	ThetaLocal
# Units	-	-	-	-	um^2	um	um	um	-	-	count	-	um^3	-	count	count	um	rad	-	rad
0	1	1	0	76.1175	31.5579	3.37698	1.89814	62.1644	0	0	0	76.1175	0.960456	141	21	22.3773	1.36234	0	1.05874
1	1	1	0	81.9205	33.3783	-6.37465	2.2335	61.5698	0	0	0	81.9205	0.924003	122	27	22.8104	1.79721	0	1.2338
2	1	1	0	83.0061	33.2446	13.568	1.20687	58.7515	0	0	0	83.0061	0.943796	133	27	25.8689	0.960675	0	1.48209
3	1	1	0	82.7056	32.9912	-15.5714	1.77351	58.1728	0	0	0	82.7056	0.954881	124	27	26.0546	2.15258	0	1.4574
4	1	1	0	95.7542	35.6194	23.572	0.114808	53.205	0	0	0	95.7542	0.948405	145	30	31.9487	0.68082	0	1.56593
5	1	1	0	69.3406	30.1051	-25.6999	0.209503	52.7932	0	0	0	69.3406	0.96143	124	22	31.7146	2.45091	0	1.56265
6	1	1	0	96.3942	36.3437	33.6199	-1.27079	46.9517	0	0	0	96.3942	0.917069	136	30	39.5825	0.492732	0	1.60858
7	1	1	0	94.3093	36.0617	-34.5455	-1.46455	47.3977	0	0	0	94.3093	0.911324	149	30	38.101	2.63369	0	1.61317
8	1	1	0	84.627	33.1739	43.4948	-3.80879	41.1789	0	0	0	84.627	0.96633	147	30	47.5861	0.347065	0	1.65814
9	1	1	0	61.3572	28.2313	-43.353	-4.36062	42.3414	0	0	0	61.3572	0.967417	133	22	44.9083	2.78601	0	1.67105
10	2	0	0	61.968	28.2463	-0.554129	-6.12462	70.7853	0	0	0	61.968	0.976009	129	22	13.8877	1.52038	0	0
11	2	0	0	61.9907	28.2049	8.07846	-6.45206	68.1152	0	0	0	61.9907	0.979234	142	22	16.4468	0.967413	0	0
12	2	0	0	73.2518	31.0804	-10.6187	-6.36317	67.2721	0	0	0	73.2518	0.952919	143	30	16.5383	2.17274	0	0
13	2	0	0	68.5881	30.3237	17.749	-7.47198	61.2732	0	0	0	68.5881	0.937333	139	29	22.7581	0.582667	0	0
14	2	0	0	59.9115	27.7194	-20.1272	-6.79033	60.3737	0	0	0	59.9115	0.979831	115	22	23.0338	2.53111	0	0
15	2	0	0	73.0738	31.3996	28.6464	-9.16956	52.7061	0	0	0	73.0738	0.931374	142	30	31.7996	0.34736	0	0
16	2	0	0	59.6599	28.0632	-29.1307	-8.9443	53.6115	0	0	0	59.6599	0.951957	101	22	29.9871	2.76419	0	0
17	2	1	0	81.8454	32.7512	38.9565	-11.345	45.271	0	0	0	81.8454	0.958846	151	30	41.1302	0.211882	0	0
18	2	1	0	80.2778	32.3271	-38.7683	-11.3648	46.5823	0	0	0	80.2778	0.965323	149	30	38.4942	2.91548	0	0
19	3	0	0	65.9682	29.6729	2.99509	-14.2958	78.4095	88.3504	0	0	65.9682	0.941509	140	28	7.1086	0.930123	0	0
20	3	0	0	65.6176	29.3162	-6.66496	-14.4619	76.3963	87.3409	0	0	65.6176	0.959433	128	27	7.73891	2.34506	0	0
21	3	0	0	60.1692	28.0309	12.5233	-14.7961	68.5846	82.001	0	0	60.1692	0.962299	129	26	14.7255	0.360809	0	0
22	3	0	0	49.3124	25.3221	-15.4783	-14.2047	67.5952	80.6369	0	0	49.3124	0.966419	91	20	15.3576	2.75502	0	0
23	3	0	0	70.8272	30.8435	22.4019	-15.8116	58.6983	71.9848	0	0	70.8272	0.935583	146	29	24.0229	0.17502	0	0
24	3	0	0	75.5945	31.5586	-24.0317	-15.9184	59.2623	72.7766	0	0	75.5945	0.953818	141	30	23.1396	2.96451	0	0
25	3	1	0	81.9342	32.6102	32.4516	-18.5308	50.2951	62.7266	0	0	81.9342	0.968209	156	30	33.7373	0.0434029	0	0
26	3	1	0	60.6499	28.0772	-33.2876	-18.0559	51.092	63.6078	0	0	60.6499	0.966792	144	22	32.0923	3.08114	0	0
27	4	0	0	51.2809	25.6204	-1.78336	-21.7417	79.3813	99.8479	0	0	51.2809	0.981732	97	19	1.82543	-1.86503	0	0
28	4	0	0	64.8058	29.0207	7.16833	-22.5244	73.5869	94.5106	0	0	64.8058	0.966958	128	27	8.79403	-0.291791	0	0
29	4	0	0	76.3448	31.493	-11.5506	-22.4122	70.8257	91.3258	0	0	76.3448	0.9673	120	30	10.5766	-2.91098	0	0
30	4	0	0	73.4979	31.0926	16.2517	-23.5184	63.7216	82.2653	0	0	73.4979	0.955366	141	30	17.8568	-0.198637	0	0
31	4	0	0	60.6635	28.1958	-19.7262	-23.6188	62.7099	81.2302	0	0	60.6635	0.958887	106	22	18.8244	-2.94786	0	0
32	4	1	0	82.8742	32.8245	25.6361	-25.2053	54.7941	70.9494	0	0	82.8742	0.966567	156	30	27.3902	-0.191402	0	0
